ParkName,Region,State,Year,RecreationVisits
Bryce Canyon NP,Intermountain,UT,1979,558095
Bryce Canyon NP,Intermountain,UT,1980,571541
Bryce Canyon NP,Intermountain,UT,1981,474092
Bryce Canyon NP,Intermountain,UT,1982,471517
Bryce Canyon NP,Intermountain,UT,1983,472633
Bryce Canyon NP,Intermountain,UT,1984,495104
Bryce Canyon NP,Intermountain,UT,1985,500782
Bryce Canyon NP,Intermountain,UT,1986,578018
Bryce Canyon NP,Intermountain,UT,1987,718342
Bryce Canyon NP,Intermountain,UT,1988,791348
Bryce Canyon NP,Intermountain,UT,1989,808045
Bryce Canyon NP,Intermountain,UT,1990,862659
Bryce Canyon NP,Intermountain,UT,1991,929067
Bryce Canyon NP,Intermountain,UT,1992,1018174
Bryce Canyon NP,Intermountain,UT,1993,1107951
Bryce Canyon NP,Intermountain,UT,1994,1028134
Bryce Canyon NP,Intermountain,UT,1995,994548
Bryce Canyon NP,Intermountain,UT,1996,1269600
Bryce Canyon NP,Intermountain,UT,1997,1174824
Bryce Canyon NP,Intermountain,UT,1998,1166331
Bryce Canyon NP,Intermountain,UT,1999,1081521
Bryce Canyon NP,Intermountain,UT,2000,1099275
Bryce Canyon NP,Intermountain,UT,2001,1068619
Bryce Canyon NP,Intermountain,UT,2002,886436
Bryce Canyon NP,Intermountain,UT,2003,903760
Bryce Canyon NP,Intermountain,UT,2004,987253
Bryce Canyon NP,Intermountain,UT,2005,1017681
Bryce Canyon NP,Intermountain,UT,2006,890676
Bryce Canyon NP,Intermountain,UT,2007,1012563
Bryce Canyon NP,Intermountain,UT,2008,1043321
Bryce Canyon NP,Intermountain,UT,2009,1216377
Bryce Canyon NP,Intermountain,UT,2010,1285492
Bryce Canyon NP,Intermountain,UT,2011,1296000
Bryce Canyon NP,Intermountain,UT,2012,1385352
Bryce Canyon NP,Intermountain,UT,2013,1311875
Bryce Canyon NP,Intermountain,UT,2014,1435741
Bryce Canyon NP,Intermountain,UT,2015,1745804
Bryce Canyon NP,Intermountain,UT,2016,2365110
Bryce Canyon NP,Intermountain,UT,2017,2571684
Bryce Canyon NP,Intermountain,UT,2018,2679478
Bryce Canyon NP,Intermountain,UT,2019,2594904
Bryce Canyon NP,Intermountain,UT,2020,1464655
Bryce Canyon NP,Intermountain,UT,2021,2104600
Bryce Canyon NP,Intermountain,UT,2022,2354660
Bryce Canyon NP,Intermountain,UT,2023,2461269
