ParkName,Region,State,Year,RecreationVisits
Capitol Reef NP,Intermountain,UT,1979,288860
Capitol Reef NP,Intermountain,UT,1980,342788
Capitol Reef NP,Intermountain,UT,1981,397789
Capitol Reef NP,Intermountain,UT,1982,289486
Capitol Reef NP,Intermountain,UT,1983,331734
Capitol Reef NP,Intermountain,UT,1984,296230
Capitol Reef NP,Intermountain,UT,1985,320503
Capitol Reef NP,Intermountain,UT,1986,383742
Capitol Reef NP,Intermountain,UT,1987,428808
Capitol Reef NP,Intermountain,UT,1988,469556
Capitol Reef NP,Intermountain,UT,1989,515278
Capitol Reef NP,Intermountain,UT,1990,562477
Capitol Reef NP,Intermountain,UT,1991,618056
Capitol Reef NP,Intermountain,UT,1992,675837
Capitol Reef NP,Intermountain,UT,1993,610707
Capitol Reef NP,Intermountain,UT,1994,605324
Capitol Reef NP,Intermountain,UT,1995,648864
Capitol Reef NP,Intermountain,UT,1996,678012
Capitol Reef NP,Intermountain,UT,1997,625680
Capitol Reef NP,Intermountain,UT,1998,656026
Capitol Reef NP,Intermountain,UT,1999,680153
Capitol Reef NP,Intermountain,UT,2000,612656
Capitol Reef NP,Intermountain,UT,2001,527760
Capitol Reef NP,Intermountain,UT,2002,525646
Capitol Reef NP,Intermountain,UT,2003,535441
Capitol Reef NP,Intermountain,UT,2004,549708
Capitol Reef NP,Intermountain,UT,2005,550255
Capitol Reef NP,Intermountain,UT,2006,511511
Capitol Reef NP,Intermountain,UT,2007,554907
Capitol Reef NP,Intermountain,UT,2008,604811
Capitol Reef NP,Intermountain,UT,2009,617208
Capitol Reef NP,Intermountain,UT,2010,662661
Capitol Reef NP,Intermountain,UT,2011,668834
Capitol Reef NP,Intermountain,UT,2012,673345
Capitol Reef NP,Intermountain,UT,2013,663670
Capitol Reef NP,Intermountain,UT,2014,786514
Capitol Reef NP,Intermountain,UT,2015,941029
Capitol Reef NP,Intermountain,UT,2016,1064904
Capitol Reef NP,Intermountain,UT,2017,1150165
Capitol Reef NP,Intermountain,UT,2018,1227627
Capitol Reef NP,Intermountain,UT,2019,1226519
Capitol Reef NP,Intermountain,UT,2020,981038
Capitol Reef NP,Intermountain,UT,2021,1405353
Capitol Reef NP,Intermountain,UT,2022,1227608
Capitol Reef NP,Intermountain,UT,2023,1268861
