ParkName,Region,State,Year,RecreationVisits
Congaree NP,Southeast,SC,1985,12332
Congaree NP,Southeast,SC,1986,16508
Congaree NP,Southeast,SC,1987,20312
Congaree NP,Southeast,SC,1988,26257
Congaree NP,Southeast,SC,1989,25445
Congaree NP,Southeast,SC,1990,23223
Congaree NP,Southeast,SC,1991,30975
Congaree NP,Southeast,SC,1992,40018
Congaree NP,Southeast,SC,1993,54669
Congaree NP,Southeast,SC,1994,67756
Congaree NP,Southeast,SC,1995,67949
Congaree NP,Southeast,SC,1996,62614
Congaree NP,Southeast,SC,1997,70716
Congaree NP,Southeast,SC,1998,93725
Congaree NP,Southeast,SC,1999,82223
Congaree NP,Southeast,SC,2000,95619
Congaree NP,Southeast,SC,2001,119738
Congaree NP,Southeast,SC,2002,101620
Congaree NP,Southeast,SC,2003,107114
Congaree NP,Southeast,SC,2004,126247
Congaree NP,Southeast,SC,2005,84301
Congaree NP,Southeast,SC,2006,134045
Congaree NP,Southeast,SC,2007,115524
Congaree NP,Southeast,SC,2008,104913
Congaree NP,Southeast,SC,2009,122970
Congaree NP,Southeast,SC,2010,121208
Congaree NP,Southeast,SC,2011,120166
Congaree NP,Southeast,SC,2012,109685
Congaree NP,Southeast,SC,2013,120340
Congaree NP,Southeast,SC,2014,120122
Congaree NP,Southeast,SC,2015,87513
Congaree NP,Southeast,SC,2016,143843
Congaree NP,Southeast,SC,2017,159595
Congaree NP,Southeast,SC,2018,145929
Congaree NP,Southeast,SC,2019,159445
Congaree NP,Southeast,SC,2020,119306
Congaree NP,Southeast,SC,2021,215181
Congaree NP,Southeast,SC,2022,204522
Congaree NP,Southeast,SC,2023,250114
