ParkName,Region,State,Year,RecreationVisits
Gates of the Arctic NP & PRES,Alaska,AK,1982,1381
Gates of the Arctic NP & PRES,Alaska,AK,1983,2138
Gates of the Arctic NP & PRES,Alaska,AK,1984,2440
Gates of the Arctic NP & PRES,Alaska,AK,1985,1381
Gates of the Arctic NP & PRES,Alaska,AK,1986,2801
Gates of the Arctic NP & PRES,Alaska,AK,1987,1060
Gates of the Arctic NP & PRES,Alaska,AK,1988,1258
Gates of the Arctic NP & PRES,Alaska,AK,1989,822
Gates of the Arctic NP & PRES,Alaska,AK,1990,1010
Gates of the Arctic NP & PRES,Alaska,AK,1991,1154
Gates of the Arctic NP & PRES,Alaska,AK,1992,2116
Gates of the Arctic NP & PRES,Alaska,AK,1993,2245
Gates of the Arctic NP & PRES,Alaska,AK,1994,1726
Gates of the Arctic NP & PRES,Alaska,AK,1995,7074
Gates of the Arctic NP & PRES,Alaska,AK,1996,6448
Gates of the Arctic NP & PRES,Alaska,AK,1997,6949
Gates of the Arctic NP & PRES,Alaska,AK,1998,8266
Gates of the Arctic NP & PRES,Alaska,AK,1999,8166
Gates of the Arctic NP & PRES,Alaska,AK,2000,11278
Gates of the Arctic NP & PRES,Alaska,AK,2001,4505
Gates of the Arctic NP & PRES,Alaska,AK,2002,6648
Gates of the Arctic NP & PRES,Alaska,AK,2003,5075
Gates of the Arctic NP & PRES,Alaska,AK,2004,10282
Gates of the Arctic NP & PRES,Alaska,AK,2005,9459
Gates of the Arctic NP & PRES,Alaska,AK,2006,9982
Gates of the Arctic NP & PRES,Alaska,AK,2007,10942
Gates of the Arctic NP & PRES,Alaska,AK,2008,11397
Gates of the Arctic NP & PRES,Alaska,AK,2009,9975
Gates of the Arctic NP & PRES,Alaska,AK,2010,10840
Gates of the Arctic NP & PRES,Alaska,AK,2011,11623
Gates of the Arctic NP & PRES,Alaska,AK,2012,10899
Gates of the Arctic NP & PRES,Alaska,AK,2013,11012
Gates of the Arctic NP & PRES,Alaska,AK,2014,12669
Gates of the Arctic NP & PRES,Alaska,AK,2015,10745
Gates of the Arctic NP & PRES,Alaska,AK,2016,10047
Gates of the Arctic NP & PRES,Alaska,AK,2017,11177
Gates of the Arctic NP & PRES,Alaska,AK,2018,9591
Gates of the Arctic NP & PRES,Alaska,AK,2019,10518
Gates of the Arctic NP & PRES,Alaska,AK,2020,2872
Gates of the Arctic NP & PRES,Alaska,AK,2021,7362
Gates of the Arctic NP & PRES,Alaska,AK,2022,9457
Gates of the Arctic NP & PRES,Alaska,AK,2023,11045
