ParkName,Region,State,Year,RecreationVisits
Big Bend NP,Intermountain,TX,1979,282941
Big Bend NP,Intermountain,TX,1980,174008
Big Bend NP,Intermountain,TX,1981,167332
Big Bend NP,Intermountain,TX,1982,180144
Big Bend NP,Intermountain,TX,1983,164926
Big Bend NP,Intermountain,TX,1984,167665
Big Bend NP,Intermountain,TX,1985,188045
Big Bend NP,Intermountain,TX,1986,200622
Big Bend NP,Intermountain,TX,1987,227921
Big Bend NP,Intermountain,TX,1988,239595
Big Bend NP,Intermountain,TX,1989,281728
Big Bend NP,Intermountain,TX,1990,257378
Big Bend NP,Intermountain,TX,1991,296470
Big Bend NP,Intermountain,TX,1992,294535
Big Bend NP,Intermountain,TX,1993,327907
Big Bend NP,Intermountain,TX,1994,330417
Big Bend NP,Intermountain,TX,1995,295460
Big Bend NP,Intermountain,TX,1996,279454
Big Bend NP,Intermountain,TX,1997,305882
Big Bend NP,Intermountain,TX,1998,338442
Big Bend NP,Intermountain,TX,1999,327649
Big Bend NP,Intermountain,TX,2000,262320
Big Bend NP,Intermountain,TX,2001,328927
Big Bend NP,Intermountain,TX,2002,327747
Big Bend NP,Intermountain,TX,2003,312384
Big Bend NP,Intermountain,TX,2004,357723
Big Bend NP,Intermountain,TX,2005,398583
Big Bend NP,Intermountain,TX,2006,298717
Big Bend NP,Intermountain,TX,2007,364856
Big Bend NP,Intermountain,TX,2008,362512
Big Bend NP,Intermountain,TX,2009,363905
Big Bend NP,Intermountain,TX,2010,372330
Big Bend NP,Intermountain,TX,2011,361862
Big Bend NP,Intermountain,TX,2012,292055
Big Bend NP,Intermountain,TX,2013,316953
Big Bend NP,Intermountain,TX,2014,314102
Big Bend NP,Intermountain,TX,2015,381747
Big Bend NP,Intermountain,TX,2016,388290
Big Bend NP,Intermountain,TX,2017,440276
Big Bend NP,Intermountain,TX,2018,440091
Big Bend NP,Intermountain,TX,2019,463832
Big Bend NP,Intermountain,TX,2020,393907
Big Bend NP,Intermountain,TX,2021,581220
Big Bend NP,Intermountain,TX,2022,514107
Big Bend NP,Intermountain,TX,2023,509129
