ParkName,Region,State,Year,RecreationVisits
Dry Tortugas NP,Southeast,FL,1979,9076
Dry Tortugas NP,Southeast,FL,1980,8644
Dry Tortugas NP,Southeast,FL,1981,10150
Dry Tortugas NP,Southeast,FL,1982,10700
Dry Tortugas NP,Southeast,FL,1983,11004
Dry Tortugas NP,Southeast,FL,1984,11900
Dry Tortugas NP,Southeast,FL,1985,13213
Dry Tortugas NP,Southeast,FL,1986,15379
Dry Tortugas NP,Southeast,FL,1987,16315
Dry Tortugas NP,Southeast,FL,1988,16937
Dry Tortugas NP,Southeast,FL,1989,19441
Dry Tortugas NP,Southeast,FL,1990,19402
Dry Tortugas NP,Southeast,FL,1991,18231
Dry Tortugas NP,Southeast,FL,1992,21581
Dry Tortugas NP,Southeast,FL,1993,24020
Dry Tortugas NP,Southeast,FL,1994,16736
Dry Tortugas NP,Southeast,FL,1995,32870
Dry Tortugas NP,Southeast,FL,1996,35127
Dry Tortugas NP,Southeast,FL,1997,47224
Dry Tortugas NP,Southeast,FL,1998,60136
Dry Tortugas NP,Southeast,FL,1999,74186
Dry Tortugas NP,Southeast,FL,2000,83704
Dry Tortugas NP,Southeast,FL,2001,79186
Dry Tortugas NP,Southeast,FL,2002,79582
Dry Tortugas NP,Southeast,FL,2003,74741
Dry Tortugas NP,Southeast,FL,2004,67917
Dry Tortugas NP,Southeast,FL,2005,61765
Dry Tortugas NP,Southeast,FL,2006,64122
Dry Tortugas NP,Southeast,FL,2007,60895
Dry Tortugas NP,Southeast,FL,2008,63947
Dry Tortugas NP,Southeast,FL,2009,52011
Dry Tortugas NP,Southeast,FL,2010,53890
Dry Tortugas NP,Southeast,FL,2011,75171
Dry Tortugas NP,Southeast,FL,2012,60550
Dry Tortugas NP,Southeast,FL,2013,58401
Dry Tortugas NP,Southeast,FL,2014,64865
Dry Tortugas NP,Southeast,FL,2015,70862
Dry Tortugas NP,Southeast,FL,2016,73661
Dry Tortugas NP,Southeast,FL,2017,54281
Dry Tortugas NP,Southeast,FL,2018,56810
Dry Tortugas NP,Southeast,FL,2019,79200
Dry Tortugas NP,Southeast,FL,2020,48543
Dry Tortugas NP,Southeast,FL,2021,83817
Dry Tortugas NP,Southeast,FL,2022,78488
Dry Tortugas NP,Southeast,FL,2023,84285
