ParkName,Region,State,Year,RecreationVisits
Death Valley NP,Pacific West,CA,1979,631152
Death Valley NP,Pacific West,CA,1980,618140
Death Valley NP,Pacific West,CA,1981,630402
Death Valley NP,Pacific West,CA,1982,679992
Death Valley NP,Pacific West,CA,1983,635582
Death Valley NP,Pacific West,CA,1984,621197
Death Valley NP,Pacific West,CA,1985,576679
Death Valley NP,Pacific West,CA,1986,586668
Death Valley NP,Pacific West,CA,1987,665345
Death Valley NP,Pacific West,CA,1988,692267
Death Valley NP,Pacific West,CA,1989,664449
Death Valley NP,Pacific West,CA,1990,690965
Death Valley NP,Pacific West,CA,1991,743608
Death Valley NP,Pacific West,CA,1992,869183
Death Valley NP,Pacific West,CA,1993,998474
Death Valley NP,Pacific West,CA,1994,971487
Death Valley NP,Pacific West,CA,1995,1109421
Death Valley NP,Pacific West,CA,1996,1189215
Death Valley NP,Pacific West,CA,1997,1188212
Death Valley NP,Pacific West,CA,1998,1177746
Death Valley NP,Pacific West,CA,1999,1227583
Death Valley NP,Pacific West,CA,2000,1179094
Death Valley NP,Pacific West,CA,2001,1014636
Death Valley NP,Pacific West,CA,2002,897596
Death Valley NP,Pacific West,CA,2003,890375
Death Valley NP,Pacific West,CA,2004,764820
Death Valley NP,Pacific West,CA,2005,800113
Death Valley NP,Pacific West,CA,2006,744440
Death Valley NP,Pacific West,CA,2007,704122
Death Valley NP,Pacific West,CA,2008,871938
Death Valley NP,Pacific West,CA,2009,828574
Death Valley NP,Pacific West,CA,2010,984775
Death Valley NP,Pacific West,CA,2011,946867
Death Valley NP,Pacific West,CA,2012,984568
Death Valley NP,Pacific West,CA,2013,951972
Death Valley NP,Pacific West,CA,2014,1101312
Death Valley NP,Pacific West,CA,2015,1154843
Death Valley NP,Pacific West,CA,2016,1296283
Death Valley NP,Pacific West,CA,2017,1294827
Death Valley NP,Pacific West,CA,2018,1678660
Death Valley NP,Pacific West,CA,2019,1740945
Death Valley NP,Pacific West,CA,2020,820023
Death Valley NP,Pacific West,CA,2021,1146551
Death Valley NP,Pacific West,CA,2022,1128862
Death Valley NP,Pacific West,CA,2023,1099632
