ParkName,Region,State,Year,RecreationVisits
Everglades NP,Southeast,FL,1979,718102
Everglades NP,Southeast,FL,1980,744244
Everglades NP,Southeast,FL,1981,564721
Everglades NP,Southeast,FL,1982,550168
Everglades NP,Southeast,FL,1983,577439
Everglades NP,Southeast,FL,1984,628658
Everglades NP,Southeast,FL,1985,697646
Everglades NP,Southeast,FL,1986,739072
Everglades NP,Southeast,FL,1987,787493
Everglades NP,Southeast,FL,1988,1026188
Everglades NP,Southeast,FL,1989,913372
Everglades NP,Southeast,FL,1990,957925
Everglades NP,Southeast,FL,1991,1292014
Everglades NP,Southeast,FL,1992,1025686
Everglades NP,Southeast,FL,1993,973706
Everglades NP,Southeast,FL,1994,886455
Everglades NP,Southeast,FL,1995,820466
Everglades NP,Southeast,FL,1996,890167
Everglades NP,Southeast,FL,1997,989532
Everglades NP,Southeast,FL,1998,1118215
Everglades NP,Southeast,FL,1999,1073982
Everglades NP,Southeast,FL,2000,995390
Everglades NP,Southeast,FL,2001,1049851
Everglades NP,Southeast,FL,2002,968909
Everglades NP,Southeast,FL,2003,1040648
Everglades NP,Southeast,FL,2004,1181355
Everglades NP,Southeast,FL,2005,1233837
Everglades NP,Southeast,FL,2006,954022
Everglades NP,Southeast,FL,2007,1074764
Everglades NP,Southeast,FL,2008,822118
Everglades NP,Southeast,FL,2009,900882
Everglades NP,Southeast,FL,2010,915538
Everglades NP,Southeast,FL,2011,934351
Everglades NP,Southeast,FL,2012,1141906
Everglades NP,Southeast,FL,2013,1047116
Everglades NP,Southeast,FL,2014,1110901
Everglades NP,Southeast,FL,2015,1077427
Everglades NP,Southeast,FL,2016,930907
Everglades NP,Southeast,FL,2017,1018557
Everglades NP,Southeast,FL,2018,597124
Everglades NP,Southeast,FL,2019,1118300
Everglades NP,Southeast,FL,2020,702319
Everglades NP,Southeast,FL,2021,942130
Everglades NP,Southeast,FL,2022,1155193
Everglades NP,Southeast,FL,2023,810189
