ParkName,Region,State,Year,RecreationVisits
Channel Islands NP,Pacific West,CA,1979,82937
Channel Islands NP,Pacific West,CA,1980,104574
Channel Islands NP,Pacific West,CA,1981,87514
Channel Islands NP,Pacific West,CA,1982,172287
Channel Islands NP,Pacific West,CA,1983,205024
Channel Islands NP,Pacific West,CA,1984,203411
Channel Islands NP,Pacific West,CA,1985,164132
Channel Islands NP,Pacific West,CA,1986,172913
Channel Islands NP,Pacific West,CA,1987,174607
Channel Islands NP,Pacific West,CA,1988,168592
Channel Islands NP,Pacific West,CA,1989,152662
Channel Islands NP,Pacific West,CA,1990,144083
Channel Islands NP,Pacific West,CA,1991,149263
Channel Islands NP,Pacific West,CA,1992,169181
Channel Islands NP,Pacific West,CA,1993,184867
Channel Islands NP,Pacific West,CA,1994,175226
Channel Islands NP,Pacific West,CA,1995,525882
Channel Islands NP,Pacific West,CA,1996,490715
Channel Islands NP,Pacific West,CA,1997,488757
Channel Islands NP,Pacific West,CA,1998,574270
Channel Islands NP,Pacific West,CA,1999,607057
Channel Islands NP,Pacific West,CA,2000,482571
Channel Islands NP,Pacific West,CA,2001,520428
Channel Islands NP,Pacific West,CA,2002,613935
Channel Islands NP,Pacific West,CA,2003,585919
Channel Islands NP,Pacific West,CA,2004,537716
Channel Islands NP,Pacific West,CA,2005,434107
Channel Islands NP,Pacific West,CA,2006,375256
Channel Islands NP,Pacific West,CA,2007,360806
Channel Islands NP,Pacific West,CA,2008,332177
Channel Islands NP,Pacific West,CA,2009,348745
Channel Islands NP,Pacific West,CA,2010,277515
Channel Islands NP,Pacific West,CA,2011,242756
Channel Islands NP,Pacific West,CA,2012,249594
Channel Islands NP,Pacific West,CA,2013,212029
Channel Islands NP,Pacific West,CA,2014,342161
Channel Islands NP,Pacific West,CA,2015,324816
Channel Islands NP,Pacific West,CA,2016,364807
Channel Islands NP,Pacific West,CA,2017,383687
Channel Islands NP,Pacific West,CA,2018,366250
Channel Islands NP,Pacific West,CA,2019,409630
Channel Islands NP,Pacific West,CA,2020,167290
Channel Islands NP,Pacific West,CA,2021,319252
Channel Islands NP,Pacific West,CA,2022,323245
Channel Islands NP,Pacific West,CA,2023,328746
